Date,Percentage,Success_node,Total_nodes
1-Dec,0.803846154,500,572
02-Dec,0.9038461538461539,517,572
02-Dec,0.9038461538461539,517,572
02-Dec,0.8863636363636364,507,572
02-Dec,0.8863636363636364,507,572
02-Dec,0.8863636363636364,507,572
02-Dec,0.8881118881118881,508,572
02-Dec,0.8898601398601399,509,572
02-Dec,0.8961267605633803,509,568
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
02-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.9024822695035462,509,564
03-Dec,0.900709219858156,508,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
03-Dec,0.898936170212766,507,564
